,vp
726,0.20869248594839468
727,0.20869248594839468
728,0.23171506280917847
729,0.23171506280917847
730,0.23171506280917847
731,0.23171506280917847
732,0.23171506280917847
733,0.23171506280917847
734,0.23171506280917847
735,0.23171506280917847
736,0.23171506280917847
737,0.2568356752393998
738,0.2568356752393998
739,0.2568356752393998
740,0.2568356752393998
741,0.2568356752393998
742,0.2568356752393998
743,0.2568356752393998
744,0.2568356752393998
745,0.2568356752393998
746,0.2568356752393998
747,0.2814283740354551
748,0.2814283740354551
749,0.2814283740354551
750,0.2814283740354551
751,0.2814283740354551
752,0.2814283740354551
753,0.2814283740354551
754,0.2814283740354551
755,0.2814283740354551
756,0.2814283740354551
757,0.30642428398970906
758,0.30642428398970906
759,0.30642428398970906
760,0.30642428398970906
761,0.30642428398970906
762,0.30642428398970906
763,0.30642428398970906
764,0.30642428398970906
765,0.30642428398970906
766,0.3294674441896337
767,0.3294674441896337
768,0.3294674441896337
769,0.3294674441896337
770,0.3294674441896337
771,0.3294674441896337
772,0.3294674441896337
773,0.3294674441896337
774,0.3294674441896337
775,0.3509041070278821
776,0.3509041070278821
777,0.3509041070278821
778,0.3509041070278821
779,0.3509041070278821
780,0.3509041070278821
781,0.3509041070278821
782,0.3509041070278821
783,0.3509041070278821
784,0.3509041070278821
785,0.37456030623002834
786,0.37456030623002834
787,0.37456030623002834
788,0.37456030623002834
789,0.37456030623002834
790,0.37456030623002834
791,0.37456030623002834
792,0.37456030623002834
793,0.37456030623002834
794,0.37456030623002834
795,0.3520044266377809
796,0.74326807098305
797,0.3520044266377809
798,0.3520044266377809
799,0.3520044266377809
800,0.3520044266377809
801,0.3520044266377809
802,0.3520044266377809
803,0.74326807098305
804,0.74326807098305
805,0.3520044266377809
806,0.28158134620501934
807,0.28158134620501934
808,0.28158134620501934
809,0.28158134620501934
810,0.28158134620501934
811,0.28158134620501934
812,0.28158134620501934
813,0.28158134620501934
814,0.28158134620501934
815,0.28158134620501934
816,0.28158134620501934
817,0.3108603462760154
818,0.3108603462760154
819,0.3108603462760154
820,0.3108603462760154
821,0.3108603462760154
822,0.3108603462760154
823,0.3108603462760154
824,0.3108603462760154
825,0.3108603462760154
826,0.3108603462760154
827,0.3108603462760154
828,0.3341394892262442
829,0.3341394892262442
830,0.3341394892262442
831,0.3341394892262442
832,0.3341394892262442
833,0.3341394892262442
834,0.3341394892262442
835,0.3341394892262442
836,0.3341394892262442
837,0.3341394892262442
838,0.36076985670527656
839,0.36076985670527656
840,0.36076985670527656
841,0.36076985670527656
842,0.36076985670527656
843,0.36076985670527656
844,0.715528179790532
845,0.36076985670527656
846,0.715528179790532
847,0.715528179790532
848,0.38312710227895236
849,0.38312710227895236
850,0.38312710227895236
851,0.38312710227895236
852,0.38312710227895236
853,0.38312710227895236
854,0.38312710227895236
855,0.38312710227895236
856,0.4081092790600864
857,0.4081092790600864
858,0.4081092790600864
859,0.4081092790600864
860,0.4081092790600864
861,0.4081092790600864
862,0.4081092790600864
863,0.4081092790600864
864,0.4338380734711768
865,0.4338380734711768
866,0.4338380734711768
867,0.4338380734711768
868,0.4338380734711768
869,0.4338380734711768
870,0.4338380734711768
871,0.4557874840159895
872,0.4557874840159895
873,0.4557874840159895
874,0.4557874840159895
875,0.4557874840159895
876,0.4557874840159895
877,0.4759909121151438
878,0.4759909121151438
879,0.4759909121151438
880,0.4759909121151438
881,0.4759909121151438
882,0.4968598820363365
883,0.4968598820363365
884,0.4968598820363365
885,0.4968598820363365
886,0.5231870088812185
887,0.5231870088812185
888,0.5231870088812185
889,0.5349667987129653
890,0.052161913499374754
891,0.10868327004965528
892,0.10868327004965528
893,0.08355289887672879
894,0.08355289887672879
895,2.32107213737204
896,5.417025897427346
897,2.320893387468131
898,6.190322565406414
899,5.416414076748099
900,1.5482257251737375
901,1.5482257251737375
902,1.5482257251737375
903,1.5465970757452892
904,1.5465970757452892
905,1.5465970757452892
906,1.5468357719212136
907,1.5468357719212136
908,1.5468357719212136
909,4.640175655709338
910,4.640175655709338
911,4.640175655709338
912,4.640175655709338
913,4.640175655709338
914,7.734993523585626
915,7.734993523585626
916,7.734993523585626
917,7.734993523585626
918,7.734993523585626
919,0.7731263916152397
920,0.7731263916152397
921,0.7731263916152397
922,0.7731263916152397
923,0.7731263916152397
924,0.7731354785657942
925,0.7731354785657942
926,0.7731354785657942
927,0.7731354785657942
928,0.7731354785657942
929,0.7755596831853256
930,0.7755596831853256
931,0.7755596831853256
932,0.7755596831853256
933,0.7755596831853256
934,0.7728961792924157
935,0.7728961792924157
936,0.7728961792924157
937,0.7728961792924157
938,0.7728961792924157
939,0.7728961792924157
940,3.0907072067805443
941,3.0907072067805443
942,3.0907072067805443
943,3.0907072067805443
944,3.0907072067805443
945,3.0907072067805443
946,3.0907072067805443
947,0.774468339810764
948,0.774468339810764
949,0.774468339810764
950,0.774468339810764
951,0.774468339810764
952,0.774468339810764
953,3.8246803291133973
954,3.8246803291133973
955,3.8246803291133973
956,3.8246803291133973
957,3.8246803291133973
958,3.8246803291133973
959,6.883573938534472
960,6.883573938534472
961,6.883573938534472
962,6.883573938534472
963,6.883573938534472
964,6.883573938534472
965,6.883573938534472
966,6.883573938534472
967,9.570547128564437
968,9.570547128564437
969,9.570547128564437
970,9.570547128564437
971,9.570547128564437
972,9.570547128564437
973,9.570547128564437
974,9.570547128564437
975,9.570547128564437
976,2.2551428922730423
977,2.2551428922730423
978,2.2551428922730423
979,2.2551428922730423
980,2.2551428922730423
981,2.2551428922730423
982,2.2551428922730423
983,2.2551428922730423
984,1.3555056086862896
985,1.8537708087075488
986,1.3555056086862896
987,1.3555056086862896
988,1.8537708087075488
989,1.3555056086862896
990,1.3555056086862896
991,1.3555056086862896
992,1.4923723572487546
993,1.4923723572487546
994,1.4923723572487546
995,1.4923723572487546
996,1.4923723572487546
997,1.4923723572487546
998,1.4923723572487546
999,1.4923723572487546
1000,1.4923723572487546
1001,0.2641659979247857
1002,0.2641659979247857
1003,0.2641659979247857
1004,0.2641659979247857
1005,0.2641659979247857
1006,0.2641659979247857
1007,0.2641659979247857
1008,0.2641659979247857
1009,0.2641659979247857
1010,0.413784397772532
1011,0.8903218607730209
1012,0.413784397772532
1013,0.8903218607730209
1014,0.413784397772532
1015,0.413784397772532
1016,0.413784397772532
1017,0.413784397772532
1018,1.0758346993152401
1019,1.552372162315729
1020,1.0758346993152401
1021,1.552372162315729
1022,1.0758346993152401
1023,1.0758346993152401
1024,1.0758346993152401
1025,1.0758346993152401
1026,1.5541957434800198
1027,2.030733206480509
1028,1.5541957434800198
1029,2.030733206480509
1030,1.5541957434800198
1031,1.5541957434800198
1032,1.5541957434800198
1033,1.5541957434800198
1034,0.0712254846986643
1035,0.0712254846986643
1036,0.0712254846986643
1037,0.0712254846986643
1038,0.0712254846986643
1039,0.0712254846986643
1040,0.0712254846986643
1041,0.0712254846986643
1042,0.3014727814092754
1043,0.3014727814092754
1044,0.3014727814092754
1045,0.3014727814092754
1046,0.3014727814092754
1047,0.3014727814092754
1048,0.3014727814092754
1049,0.3014727814092754
1050,0.0705638955528563
